Property ID,Construction year,Neighbourhood or locality,Type of building,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace surface,Terrace surface,Elevator,Accessible for disabled people,Swimming pool,Primary energy consumption,Energy class,Heating type,Price,Monthly charges,Cadastral income,Surface of the plot,Garden,Garden surface,Terrace,Terrace surface,Terrace surface
10579878,None,None,None,Good,2.0,95  m² square meters,Semi equipped,2.0,1.0,1.0,1.0,Yes,None,None,None,Yes,None,None,250  kWh/m²  kilowatt hour per square meters,C,Gas,"Make an offer starting from  € 148,000  Make an offer starting from  148000 €",None,None,None,None,None,None,None,None
10579877,None,None,None,To be done up,2.0,54  m² square meters,Not installed,1.0,1.0,1.0,1.0,Yes,None,None,None,Yes,None,None,325  kWh/m²  kilowatt hour per square meters,D,None,"Make an offer starting from  € 115,000  Make an offer starting from  115000 €",None,None,None,None,None,None,None,None
10579869,1900.0,None,None,To renovate,2.0,67  m² square meters,Installed,1.0,1.0,None,1.0,None,No,None,None,None,None,None,Not specified,Not specified,Gas,"€ 200,000  200000 €",None,€ 532  532 €,None,None,35  m²  square meters,None,None,None
10579861,2022.0,Ans,None,None,2.0,134  m² square meters,Not installed,3.0,None,1.0,1.0,None,None,6  m²  square meters,6  m²  square meters,None,None,None,Not specified,Not specified,None,"€ 299,000  299000 €",None,None,None,None,None,None,6  m²  square meters,6  m²  square meters
10579860,2022.0,Ans,None,None,2.0,65  m² square meters,Not installed,1.0,None,1.0,1.0,None,None,18  m²  square meters,18  m²  square meters,None,None,None,Not specified,Not specified,None,"€ 169,000  169000 €",None,None,None,None,None,None,18  m²  square meters,18  m²  square meters
10579859,2022.0,Ans,None,None,2.0,97  m² square meters,Not installed,2.0,None,1.0,1.0,None,None,5  m²  square meters,5  m²  square meters,None,None,None,Not specified,Not specified,None,"€ 239,000  239000 €",None,None,None,None,None,None,5  m²  square meters,5  m²  square meters
10579857,2022.0,Ans,None,None,2.0,106  m² square meters,Not installed,2.0,None,1.0,1.0,None,None,6  m²  square meters,6  m²  square meters,None,None,None,Not specified,Not specified,None,"€ 249,000  249000 €",None,None,None,None,None,None,6  m²  square meters,6  m²  square meters
10579840,1971.0,None,None,To be done up,4.0,246  m² square meters,None,3.0,1.0,None,None,Yes,No,None,None,No,No,No,928  kWh/m²  kilowatt hour per square meters,F,Gas,"€ 299,000  299000 €",None,"€ 1,279  1279 €",1379  m²  square meters,None,None,Yes,None,None
10373646,None,None,None,To be done up,3.0,170  m² square meters,Semi equipped,3.0,1.0,1.0,2.0,None,None,15  m²  square meters,15  m²  square meters,None,Yes,None,649  kWh/m²  kilowatt hour per square meters,G,Fuel oil,None,None,€ 704  704 €,1200  m²  square meters,None,700  m²  square meters,None,15  m²  square meters,15  m²  square meters
10579838,1924.0,bruxelles,None,Good,2.0,86  m² square meters,Installed,2.0,1.0,1.0,1.0,Yes,No,7  m²  square meters,7  m²  square meters,No,No,No,215  kWh/m²  kilowatt hour per square meters,E,Gas,"€ 295,000  295000 €",None,None,None,None,None,None,7  m²  square meters,7  m²  square meters
