Property ID,Neighbourhood or locality,Type of building,Construction year,Price (€),Bedrooms,Living area (m²),Kitchen type,Furnished,How many fireplaces?,Terrace,Terrace surface (m²),Garden,Garden surface (m²),Surface of the plot (m²),Number of frontages,Swimming pool,Elevator,Basement,Building condition,Cadastral income (€),Primary energy consumption (kWh/m²),CO₂ emission (kg CO₂/m²),Energy class,Heating type,Kitchen type scale,Building condition scale
10501859,,Villa,1992.0,360000,3.0,194.0,Installed,0,0.0,0.0,0.0,1.0,0.0,611.0,4.0,0,0,0,Good,1036.0,306.0,,D,,3,4
10498279,,,1958.0,369000,4.0,215.0,Semi equipped,0,0.0,1.0,0.0,0.0,0.0,250.0,2.0,0,0,1,Good,966.0,181.0,,B,,2,4
10532245,,,,384000,5.0,269.0,Installed,0,0.0,1.0,30.0,1.0,250.0,402.0,2.0,0,0,0,Good,813.0,256.0,,C,Gas,3,4
10507323,,Town-house,1960.0,395000,4.0,190.0,Semi equipped,0,0.0,1.0,21.0,1.0,335.0,335.0,2.0,0,0,1,Good,900.0,188.0,7188.0,B,Gas,2,4
10538121,,,,410000,6.0,239.0,Semi equipped,0,0.0,0.0,0.0,0.0,0.0,152.0,3.0,0,0,1,To be done up,4637.0,269.0,50.0,D,Gas,2,1
10509782,,,1963.0,439000,3.0,140.0,Installed,0,0.0,1.0,30.0,1.0,300.0,826.0,4.0,0,0,0,,1363.0,1111.0,56557.0,F,Fuel oil,3,0
10087923,,,1978.0,480000,4.0,160.0,Semi equipped,0,0.0,1.0,25.0,1.0,500.0,637.0,4.0,0,0,0,To be done up,2104.0,228.0,61.0,C,Fuel oil,2,1
10310889,,,1891.0,649000,4.0,,USA installed,0,0.0,1.0,0.0,1.0,118.0,260.0,2.0,0,0,1,As new,,224.0,,C,,7,6
10514581,,,1909.0,695000,3.0,174.0,,0,0.0,1.0,10.0,0.0,0.0,75.0,,0,0,1,Good,1168.0,262.0,52.0,E,,0,4
10575968,,,1970.0,165000,2.0,86.0,Not installed,0,0.0,1.0,6.0,0.0,0.0,,2.0,0,1,1,To renovate,,220.0,,C,Fuel oil,1,3
10575967,,,2023.0,376866,3.0,161.0,,0,0.0,0.0,0.0,0.0,0.0,503.0,3.0,0,0,0,As new,,,,,Gas,0,6
10575966,,,2023.0,379838,3.0,162.0,,0,0.0,0.0,0.0,0.0,0.0,503.0,3.0,0,0,0,As new,,,,,Gas,0,6
10575965,,,1972.0,375000,4.0,221.0,,0,0.0,1.0,0.0,1.0,550.0,840.0,3.0,0,1,0,Good,1219.0,431.0,,E,Gas,0,4
10575964,Bruxelles (19 communes),,2016.0,175000,1.0,60.0,USA installed,0,0.0,1.0,0.0,0.0,0.0,,2.0,0,1,1,As new,1144.0,131.52,65.0,B,Gas,7,6
10575962,Tournai,,,155000,3.0,90.0,Installed,0,0.0,0.0,0.0,0.0,0.0,,2.0,0,0,1,Good,386.0,296.0,,D,Gas,3,4
10575960,,,2024.0,401300,3.0,154.0,Hyper equipped,0,0.0,1.0,0.0,0.0,0.0,652.0,3.0,0,0,0,,,20.0,,A,,4,0
10575959,,,2001.0,320000,2.0,99.0,Installed,0,0.0,0.0,0.0,1.0,0.0,,,0,1,1,Good,1205.0,108.0,108.0,B,Gas,3,4
