,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
12750,To renovate,205,None,4,1,"€ 235,000  235000 €",house,house,for sale,None,4,0.0,766,None,0.0,1.0
12752,As new,480,Hyper equipped,6,3,"€ 1,290,000  1290000 €",house,villa,for sale,Noorden van Antwerpen,4,None,1923,1726,None,None
12753,Good,150,Installed,2,1,"€ 595,000  595000 €",house,farmhouse,for sale,None,4,None,3276,None,None,1.0
12756,Good,194,Installed,2,1,"€ 299,000  299000 €",house,mixed use building,for sale,None,3,1.0,91,None,None,1.0
12757,Good,62,Installed,1,1,"€ 335,000  335000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
12758,Good,91,Installed,2,None,"€ 45,000  45000 €",house,villa,for sale,None,None,0.0,567,250,None,None
12760,Good,550,Hyper equipped,5,4,"€ 1,650,000  1650000 €",house,house,for sale,None,4,0.0,6882,None,1.0,1.0
12762,As new,95,USA hyper equipped,2,2,"€ 555,000  555000 €",apartment,apartment,for sale,Bruxelles Sud,None,0.0,None,None,0.0,None
12763,To be done up,216,Installed,3,1,"€ 449,000  449000 €",house,country cottage,for sale,None,4,None,796,None,None,1.0
12767,Good,217,Installed,2,1,"€ 199,000  199000 €",house,mixed use building,for sale,Liège,2,0.0,87,None,0.0,None
12768,Good,260,Installed,3,1,"Make an offer starting from  € 249,900  Make an offer starting from  249900 €",house,house,for sale,Wallonne,3,0.0,180,50,0.0,None
12769,Just renovated,135,None,3,1,"€ 699,000  699000 €",apartment,apartment,for sale,Cinquantenaire,2,0.0,None,None,None,None
12770,As new,239,Installed,4,2,"€ 890,000  890000 €",apartment,penthouse,for sale,None,3,0.0,None,160,0.0,None
12771,Good,85,Installed,2,1,"€ 157,000  157000 €",apartment,apartment,for sale,Liège,2,0.0,None,None,0.0,None
12772,Good,91,Installed,2,1,"€ 199,000  199000 €",apartment,apartment,for sale,GRAND VERVIERS,2,0.0,None,None,0.0,None
12774,Just renovated,450,Hyper equipped,6,3,"€ 1,390,000  1390000 €",house,house,for sale,None,4,0.0,1500,1200,1.0,None
12775,As new,179,None,3,1,"€ 344,000  344000 €",house,house,for sale,None,2,0.0,211,None,1.0,1.0
12776,Good,108,Installed,2,1,"€ 260,000  260000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
12777,Good,94,Installed,2,1,"€ 249,000  249000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12779,Good,60,Installed,1,1,"€ 135,000  135000 €",apartment,duplex,for sale,None,2,0.0,None,None,None,None
12780,As new,102,Installed,2,1,"€ 275,000  275000 €",apartment,apartment,for sale,Grand Liège,4,0.0,None,None,0.0,None
12781,Good,132,Semi equipped,3,1,"€ 399,000  399000 €",house,house,for sale,None,2,None,175,None,None,None
12782,To renovate,139,None,3,1,"€ 435,000  435000 €",house,bungalow,for sale,None,2,0.0,1200,None,0.0,None
12783,Good,105,Installed,2,1,"€ 279,000  279000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12785,Good,116,Installed,3,2,"€ 315,000  315000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
12786,To renovate,140,Not installed,3,1,"€ 165,000  165000 €",house,house,for sale,"Trooz, Nessonvaux, Fraipont",3,0.0,269,80,0.0,None
12788,To renovate,210,Semi equipped,5,None,"€ 449,000  449000 €",house,house,for sale,None,None,0.0,115,None,None,1.0
12789,Good,45,Installed,1,1,"€ 229,000  229000 €",apartment,flat studio,for sale,None,2,0.0,None,None,0.0,None
12790,None,220,Installed,5,1,"Make an offer starting from  € 395,000  Make an offer starting from  395000 €",house,mansion,for sale,None,2,None,350,150,None,None
12792,To be done up,232,Not installed,6,1,"€ 195,000  195000 €",house,house,for sale,None,None,None,180,30,None,1.0
12794,To be done up,145,Installed,2,1,"€ 149,000  149000 €",house,house,for sale,Vlaamse Ardennen,2,0.0,88,None,0.0,None
12796,To be done up,1112,USA hyper equipped,8,4,"€ 2,650,000  2650000 €",house,castle,for sale,None,4,0.0,53550,None,None,1.0
12797,Just renovated,104,Installed,2,1,"€ 240,000  240000 €",house,house,for sale,None,3,None,288,None,None,None
12798,As new,380,Hyper equipped,4,3,"€ 635,000  635000 €",house,mansion,for sale,None,3,None,573,None,0.0,None
12799,As new,240,Installed,3,1,"€ 1,050,000  1050000 €",apartment,apartment,for sale,Sablon,3,0.0,None,None,0.0,None
12802,As new,120,Installed,3,1,"€ 349,000  349000 €",house,house,for sale,None,None,0.0,110,None,0.0,None
12803,Just renovated,120,USA installed,3,1,"€ 495,000  495000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
